그룹,소스,텍스트,좋아요,작성시간
코스피 5000,뉴스,"이 대통령, 21일 민주당 원내지도부·22일 ‘코스피 5,000 특위’ 연이어 초청 - KBS 뉴스 &lt;a href=""https://news.google.com/rss/articles/CBMiW0FVX3lxTE9VeFBDNE4wUkFfYXVzNHZMX1l6NURkcVF4ZEJYYmxyV1VuSTU5UGJ5QTBXOFlOeWJkZ0gxaEJaQ1AtYThzbWFhTnVTcXJIS1JfQlV0UlU2WDZwYTg?oc=5"" target=""_blank""&gt;이 대통령, 21일 민주당 원내지도부·22일 ‘코스피 5,000 특위’ 연이어 초청&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;KBS 뉴스&lt;/font&gt;",,"Tue, 20 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"[코스피 5,000] 외국인·기관 쌍끌이 매수에 코스피 '불기둥' - 연합뉴스 &lt;a href=""https://news.google.com/rss/articles/CBMiW0FVX3lxTE5MWGdQdTlrMURvWGRCcGxnVDBBRmxwcGxicmt2MzNnZWcxNWpjU2RUR2FRdFNrZjhsNEd0aURGQWZoZDR6WE5MY3ozWi1iRERIZU5FRUFBbHNmbGPSAWBBVV95cUxNSHBwRjBuYUtkeGc5MWV6NUU5b1plTjVweUdpYk1sZnBGazY4QUZ6akJNdFA3ZzZMWDJCalJVaFp2MV8wSUJTVWtWZUxnUDE3RmF2eS04cDJLUU5POXlrT2I?oc=5"" target=""_blank""&gt;[코스피 5,000] 외국인·기관 쌍끌이 매수에 코스피 '불기둥'&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;연합뉴스&lt;/font&gt;",,"Mon, 19 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"(토마토칼럼)코스피 5000 너머에는 - 뉴스토마토 &lt;a href=""https://news.google.com/rss/articles/CBMiYEFVX3lxTFBYWGJ1c2ZkSGV0V0tXYjdkWG94XzZ2TzlIY2M0NXdkSGN2T3BYZ3Z0ZUNPenU1UGF6MzRBUU1Qc3A5QkJSd0tCb3JKQ0ZXX0J4X2Z4OG5McEw4clBUczFILQ?oc=5"" target=""_blank""&gt;(토마토칼럼)코스피 5000 너머에는&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;뉴스토마토&lt;/font&gt;",,"Mon, 19 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"'꿈의 5,000 눈앞'…李대통령, 22일 與 '코스피5,000특위' 초청해 오찬 - 연합인포맥스 &lt;a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTFBWVXczNWZWTHhWQ1hRTVF1NEZGcG5rZkpIU1FkenlDWmVGdEJySkQ2eWxTVmdVRXRMbEx6QzFwc0RTRU9TVlJNQXp3eEtJd2o2Zk1vVkZaeFlGS05mRG9TWVpCaGdfYm5INld5M3pXZlo?oc=5"" target=""_blank""&gt;'꿈의 5,000 눈앞'…李대통령, 22일 與 '코스피5,000특위' 초청해 오찬&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;연합인포맥스&lt;/font&gt;",,"Tue, 20 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"코스피 5000 시대의 역설...""지금은 아니다""라는 핑계는 유효한가 [소셜 코리아] - v.daum.net &lt;a href=""https://news.google.com/rss/articles/CBMiT0FVX3lxTE9FbG9haWxnbHpDNTc0TE9fNWlQV1lodmtWM0w2d1lpN1h1cGV3bE95Vk93a0RiTzE2VGxMdDZ4UDhpTExFd1NkS01qZFJuOFU?oc=5"" target=""_blank""&gt;코스피 5000 시대의 역설...""지금은 아니다""라는 핑계는 유효한가 [소셜 코리아]&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;v.daum.net&lt;/font&gt;",,"Mon, 19 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"꿈의 5000피 눈앞인데 ""지수만 풍년""…'K자형' 코스피의 민낯 - 중앙일보 &lt;a href=""https://news.google.com/rss/articles/CBMiVkFVX3lxTFB6XzhoYjlSUURlbm9wdG1QMzVNODcyMFIwZHZhU3ZCUW9xV0ZNZ2J1VUtsMDlQcnpfc0RWQmx0SW03eFZ0d3JGajNiWEhhNUNWamhnZUxB?oc=5"" target=""_blank""&gt;꿈의 5000피 눈앞인데 ""지수만 풍년""…'K자형' 코스피의 민낯&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;중앙일보&lt;/font&gt;",,"Mon, 19 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"’코스피 5000’ 눈앞...미국 ’반도체 관세’ 여파는? - YTN &lt;a href=""https://news.google.com/rss/articles/CBMiXkFVX3lxTE8yZ1J2Qkl5VHZhUk40NC0zMEl1dVk0b242eGtSSm1JeUhLOFdScXhJLVVhQm5BS09yX3hsUWxvX1pRRHdfU1N3ZWVhdVUxckZ2SnZkSDVfanBPQ1hna1E?oc=5"" target=""_blank""&gt;’코스피 5000’ 눈앞...미국 ’반도체 관세’ 여파는?&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;YTN&lt;/font&gt;",,"Mon, 19 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"'오천피' 눈앞…李대통령, 與 코스피5000특위와 오찬 - 뉴스1 &lt;a href=""https://news.google.com/rss/articles/CBMiWkFVX3lxTE1RM0tvNkZYbzhaZEh0aGlSVGlYMk1WcmFtVEtEQ0tNU2FIZE1td19kNVg4bkQzWVlPS005dXVtckFfMmtIQ3Q3Z2d3TU82TVRQZGdRaGJFOGpKdw?oc=5"" target=""_blank""&gt;'오천피' 눈앞…李대통령, 與 코스피5000특위와 오찬&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;뉴스1&lt;/font&gt;",,"Tue, 20 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"'코스피 5000' 고지 눈앞…3차 상법 개정안 입법 탄력 - 스트레이트뉴스 &lt;a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE01OGNHTzZPTlB1bkNLMWY5TWJEQ1pXY0JrTUoxQk1NcFhocWg4YkpXN2Y0cnBDa0V3VVA1cnp3eVNFRm8xMWpLd2JIS0Y0T2xmWUdqWkpMOFAwaUtHUEtZSndYY0RZRHZxTTFsY293aXlwR3PSAXdBVV95cUxNeGY1WHJ1cTZPaGFOcDYxLW40OVNEUFlENUpyUzJIRUR1cHhWRjVjay02Y1JRdFotZlc2VlVaT3k4aGNYc0wwLVI2YVlkMTV1cS1Ic3VxWnJna3RFdDRuZ3ZnVUlZNHdwdWtFTGh4Qkt4TWN5VGhISQ?oc=5"" target=""_blank""&gt;'코스피 5000' 고지 눈앞…3차 상법 개정안 입법 탄력&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;스트레이트뉴스&lt;/font&gt;",,"Tue, 20 Jan 2026 08:00:00 GMT"
코스피 5000,뉴스,"코스피 5000 문턱인데…인천 증시, 양극화 심화 - 인천일보 &lt;a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTFBGMExlT2J0eEI0ME1Gek1IZjVieTlfNmFDRE5GRWdtYm0xOVFVZUtQSkFzY2RsWjRnTzVhR2daeHVDU3ViTHVmVjFEdU5hSmIyaHg2d3VmWG9ib1p0Q0xHUjdPdHhuemVWMVpjSjEybWw?oc=5"" target=""_blank""&gt;코스피 5000 문턱인데…인천 증시, 양극화 심화&lt;/a&gt;&amp;nbsp;&amp;nbsp;&lt;font color=""#6f6f6f""&gt;인천일보&lt;/font&gt;",,"Mon, 19 Jan 2026 08:00:00 GMT"
