그룹,videoId,제목,채널,조회수,좋아요,댓글수,영상길이,게시일,썸네일
코스피 5000,DQxhffh4kUs,"""코스피 5,000 되면 누굴 보고 싶냐면"" #Shorts (MBC뉴스)",MBCNEWS,1953378,48585,6385,PT2M20S,2026-01-19T06:46:17Z,https://i.ytimg.com/vi/DQxhffh4kUs/mqdefault.jpg
코스피 5000,Zm3qkfKDzaU,코스피 5000 조롱했던 경제유튜버 슈~ ... 이런건 박제 해야지,빛의 혁명:The Revolution of Light,1912067,55140,2710,PT1M3S,2026-01-24T23:40:14Z,https://i.ytimg.com/vi/Zm3qkfKDzaU/mqdefault.jpg
코스피 5000,ZWU1GbGs6q8,"박근혜, 이준석이 다급한 이유? (코스피5000, 합당제안) | 풀버전",[팟빵] 최욱의 매불쇼,1740773,103711,2384,PT3H38M30S,2026-01-22T08:39:17Z,https://i.ytimg.com/vi/ZWU1GbGs6q8/mqdefault.jpg
코스피 5000,QSihBAbONUg,"이준석, 코스피 5,000돌파에~ 폭망~! 이준석의 셀프 저주~!",이슈카톡,1692241,53477,5855,PT39S,2026-01-22T02:32:46Z,https://i.ytimg.com/vi/QSihBAbONUg/mqdefault.jpg
코스피 5000,U7rLN5buXnM,'5만장' 찢고 '5천' 코웃음.. 박제된 '레전드 발언' [뉴스.zip/MBC뉴스],MBCNEWS,1218785,17511,7425,PT9M14S,2026-01-24T00:30:24Z,https://i.ytimg.com/vi/U7rLN5buXnM/mqdefault.jpg
코스피 5000,JWETbsXKUnw,"'코스피 5,000' 실제 넘기자 ""기대한 모습과 달라"" #Shorts (MBC뉴스)",MBCNEWS,767150,12258,5347,PT1M32S,2026-01-23T08:50:18Z,https://i.ytimg.com/vi/JWETbsXKUnw/mqdefault.jpg
코스피 5000,pQ7AXzgTv4I,"""코스피 5,000? 허황된 구호"" 그런데 실제로 일어났다 [뉴스.zip/MBC뉴스]",MBCNEWS,667456,21043,6404,PT4M37S,2026-01-22T01:25:17Z,https://i.ytimg.com/vi/pQ7AXzgTv4I/mqdefault.jpg
코스피 5000,IuyuIt1UhCM,"코스피 5000, 하지만 절반이 주식으로 돈 잃었다… 50초 안에 설명하기",꽉TV,653803,24403,1563,PT58S,2026-01-24T00:00:32Z,https://i.ytimg.com/vi/IuyuIt1UhCM/mqdefault.jpg
코스피 5000,XS2VL5i5aeo,[경축]코스피 5000 돌파 기념... 또 들어도 재미있는 쌉소리들,빛의 혁명:The Revolution of Light,645445,20257,1838,PT1M10S,2026-01-22T03:46:29Z,https://i.ytimg.com/vi/XS2VL5i5aeo/mqdefault.jpg
코스피 5000,mXKWjH8Yw_4,"5000 눈앞이라지만… 코스피 주가 폭등의 진실, 50초 안에 설명하기",꽉TV,641772,27629,775,PT1M3S,2026-01-20T07:11:08Z,https://i.ytimg.com/vi/mXKWjH8Yw_4/mqdefault.jpg
코스피 5000,T-Nm1OYxFo8,"코스피 5,000이 문제?? 역대급 똥볼 콤비 이준석X장동혁 #shorts",어쩌다 만든 뉴스,636275,14061,872,PT41S,2026-01-22T08:45:00Z,https://i.ytimg.com/vi/T-Nm1OYxFo8/mqdefault.jpg
코스피 5000,S-aeF4m5ap8,"""설마"" 했던 '코스피 5000' 이젠 ""급락 염려?"" 묻자.. #Shorts (MBC뉴스)",MBCNEWS,596009,9463,1260,PT1M31S,2026-01-21T06:05:41Z,https://i.ytimg.com/vi/S-aeF4m5ap8/mqdefault.jpg
코스피 5000,8VoTGZDkKsY,"""대통령, 여당 코스피 5000 특위 오찬"" 이소영 의원이 제안한 법안은?",정치소록,565632,13590,108,PT1M6S,2026-01-22T12:46:09Z,https://i.ytimg.com/vi/8VoTGZDkKsY/mqdefault.jpg
코스피 5000,b9JOrkWMjb0,"""코스피 5000? 어떻게 가냐는 질문에 이재명이 내놓은 해답"" #진중권#코스피5000#이재명#코리아디스카운트#주식투",뉴스파묘,531069,11665,642,PT1M11S,2026-01-21T22:15:04Z,https://i.ytimg.com/vi/b9JOrkWMjb0/mqdefault.jpg
코스피 5000,lT9TyFwWDZQ,이재명 대통령이 해냈다 코스피 5000을 돌파 할수 있었던 2가지 이유 #이재명 #더불어민주당,정치한줄,491718,24282,778,PT1M,2026-01-22T03:39:58Z,https://i.ytimg.com/vi/lT9TyFwWDZQ/mqdefault.jpg
코스피 5000,6HKeyJxoWlw,"[뉴스 '꾹'] '코스피 5,000' 실제 넘기자 나경원 반응 나왔는데.. (2026.01.23/MBC뉴스)",MBCNEWS,486505,6463,6425,PT1M43S,2026-01-23T08:42:38Z,https://i.ytimg.com/vi/6HKeyJxoWlw/mqdefault.jpg
코스피 5000,vxCSIA_aA_Y,코스피5000시대.. 오랜만에 계좌 열어보고.. 한강 왔습니다.. (ft. 주식 수익 대공개),미자네 주막,468203,14451,896,PT18M50S,2026-01-23T11:00:06Z,https://i.ytimg.com/vi/vxCSIA_aA_Y/mqdefault.jpg
코스피 5000,sNVsLzNEHQE,코스피 5000에 웃지 않은 대통령! (대통령 만난 이소영) [코너별 다시보기],[팟빵] 최욱의 매불쇼,465134,16548,1332,PT46M28S,2026-01-22T10:36:30Z,https://i.ytimg.com/vi/sNVsLzNEHQE/mqdefault.jpg
코스피 5000,jci8FcCsbr0,역시 이재명 !! #이재명 #코스피5000 #이준석 #김문수 #척척석사,폴리버스,442203,13698,1462,PT1M15S,2026-01-22T01:03:36Z,https://i.ytimg.com/vi/jci8FcCsbr0/mqdefault.jpg
코스피 5000,DExV_ZPXoE0,코스피 5000 찍으면... 이준석 ㆍ진중권 보고싶을거 같아요!,진보이슈펀치,411303,9485,312,PT41S,2026-01-20T07:50:01Z,https://i.ytimg.com/vi/DExV_ZPXoE0/mqdefault.jpg
코스피 5000,CfwMGti3oss,"[오늘 이 뉴스] ""설마"" 했던 '코스피 5000' 이젠 ""급락 염려?"" 묻자.. (2026.01.21/MBC뉴스)",MBCNEWS,382272,7032,2304,PT8M22S,2026-01-21T03:55:19Z,https://i.ytimg.com/vi/CfwMGti3oss/mqdefault.jpg
코스피 5000,2zHM1In1fVA,To. 코스피 5천 불가능이라던 사람들에게,한준호tv,346133,15904,626,PT46S,2026-01-22T08:01:03Z,https://i.ytimg.com/vi/2zHM1In1fVA/mqdefault.jpg
